sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
124,529106,ru,?œ?°????Ñ€ ?“Ñ€????: ?§Ñƒ???????? ?”???ºÑ‚??Ñ€,248.521,4/1/2021,6.8,342,"['Action', 'Adventure']","Igor Grom is a skilled policeman from St. Petersburg, known for his daring nature and uncompromising attitude towards the criminals of all kinds. Incredible strength, analytical mind and integrity â€“ these qualities make Major Grom the perfect policeman. Working tirelessly, he always pushes through, and meets the challenges standing in the way.",4493306,136,
125,729720,fr,Le Dernier Mercenaire,265.12,7/30/2021,6.8,431,"['Action', 'Comedy']","A mysterious former secret service agent must urgently return to France when his estranged son  is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.",0,110,The daddy of all secret agents.
132,880009,es,Catalina la Catrina: especial DÃ?a de Muertos,260.402,10/1/2021,3.3,5,"['Family', 'Animation']",,0,0,
150,882812,es,No me echen ese muerto,173.395,10/9/2021,7.4,17,['Comedy'],,0,0,
155,586047,ko,ì„œë?µ,212.792,4/12/2021,7.5,90,"['Science Fiction', 'Action']","A former intelligence agent gets involved with the first human clone, Seo Bok, who others seek, causing trouble.",0,114,Live the Moment
172,866408,zh,çÅ«æ˜Ÿå?‚åè˜,213.619,8/27/2021,6.3,19,"['Drama', 'Science Fiction']","In the near future, the Earthâ€™s resources are gradually getting scarce. In order to continue the hope of survival for generations of children and grandchildren, top scientists from various countries have brought several species of animals and plants to Mars for research, hoping to improve the Martian environment through advanced science and technology to make it suitable for human habitation.",0,0,
176,800823,es,A todo tren: destino Asturias,186.728,7/8/2021,4.7,33,"['Comedy', 'Family']","When Ricardo, a responsible father, decides to personally take his son to a camp in Asturias, other parents propose that he should also take care of their children. When the train is about to leave, Felipe, a flamboyant individual and grandfather of two of the children, shows up at the station.",3468053,90,A hilarious adventure (as long as it doesn't happen to you)
179,604822,zh,æ€¥å…ˆé”‹,188.834,9/30/2020,6.3,374,"['Action', 'Adventure', 'Crime']",Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,27900000,107,
187,623135,ko,ì‹±íÅ¬í™€,189.962,8/11/2021,7.3,21,"['Comedy', 'Drama']","The average citizen Dong-won and his family move into a house bought after years of hard work. Filled with happiness, he invites his colleagues for a housewarming party, but the heavy rain during the night before creates a gigantic sinkhole, and in a mere minute, it swallows up the whole house and the people inside. Hundreds of meters down the hole, Dong-won, his neighbor Man-su, and the unfortunate guests must find their way out. Rain starts to pour down, filling the sinkhole with water, and theyâ€™re running out of time.",0,113,A house earned after 11 years of effort falls deep into the ground in a minute
201,773660,es,Este amor es de otro planeta,247.872,3/31/2021,4.5,2,"['Comedy', 'Romance']",,0,88,
205,774456,es,GarcÃ?a y GarcÃ?a,172.079,8/27/2021,3.2,3,['Comedy'],,0,0,
213,410113,fr,The Loud House Movie,177.043,8/20/2021,8.4,84,"['Animation', 'Family', 'Comedy', 'Music', 'Fantasy']",The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,0,83,The Louds are about to rule.
214,633515,nl,De Slag om de Schelde,172.669,6/5/2021,7.2,183,"['War', 'History', 'Drama']","November 1944. On the flooded isle of Walcheren, Zeeland, thousands of Allied soldiers are battling the German army. Three young lives become inextricably connected. A Dutch boy fighting for the Germans, an English glider pilot and a girl from Zeeland connected to the resistance against her will, are forced to make crucial choices that impact both their own freedom and the freedom of others.",0,124,
217,659940,da,Marco effekten,165.433,5/27/2021,6.5,11,"['Thriller', 'Crime']","When 14-year-old Marco, a homeless Romani boy, is arrested at the Danish border for possession of a missing public servant's passport, police inspector Carl MÃ¸rck and his Department Q team are tasked with finding the connection. The old case contains several suspicious elements: The public servant was accused of pedophilia shortly before he disappeared, and his case was closed unusually quickly. But the silent, traumatized Marco refuses to talk to them and it's not long before he's on the run from those who intend to kill him because of what he knows.",2686,120,
220,786705,pt,ConfissÃµes de Uma Garota ExcluÃ?da,163.901,9/22/2021,6.9,108,"['Comedy', 'Drama']","When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",0,91,
225,809968,pl,Bartkowiak,151.004,7/28/2021,6.3,113,"['Action', 'Thriller']","After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub â€” and soon learns his sibling's death wasnâ€™t an accident.",0,91,
228,785516,fr,8 Rue de l'HumanitÃ©,134.572,10/20/2021,6.1,150,['Comedy'],"Seven families live in the Parisian apartment building at 8, Rue de lâ€™Humanite - and they didnâ€™t escape to the countryside at the arrival of the coronavirus. Three months of life under lockdown will reveal the best and worst of these neighbours.",0,126,
236,581387,ko,ë°±ë‘êì‚°,160.747,12/19/2019,6.5,328,"['Action', 'Adventure', 'Thriller']",A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.,61321941,128,Only one chance to save the nation.
246,675024,es,El Exorcismo de Carmen FarÃ?as,134.901,5/5/2021,6.4,74,['Horror'],"Carmen, a brave journalist, discovers soon after her mother's death that she has inherited her grandma's house. She decides to move there without knowing it hides dark secrets.",1474579,93,
250,659954,fr,Azor,143.506,9/10/2021,5.6,7,['Drama'],"Yvan De Wiel, a private banker from Geneva, is going to an Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight. Between hushed lounges, swimming pools and gardens under surveillance, a remote duel between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization.",0,100,
269,875460,es,Cato,155.765,10/14/2021,2,1,['Drama'],,0,0,
272,776909,es,Fuimos canciones,130.055,9/29/2021,6.6,62,"['Comedy', 'Romance']","Fashion assistant Maca has just about got her life together after a devastating breakup, when Leo, the man who broke her heart returns. Seeking support from best friends, Adriana and Jime, all three will learn love can be complicated.",0,110,
288,630520,es,La noche mÃ¡gica,135.977,3/11/2021,8.2,20,"['Comedy', 'Drama']","A peaceful Christmas Eve is interrupted when a thief breaks into a villa. When the familyâ€™s little daughter mistakes him for Santa Claus and asks him to fulfill her Christmas wish, he will be forced to perform a miracle that will redeem secrets from the past.",0,98,
295,860425,es,Sinaliento,123.674,8/11/2021,5.9,32,"['Crime', 'Drama', 'Thriller']","In the DR, hardened cop Manolo tries to take down an infamous drug cartel; meanwhile, his daughter has fallen in love with Lorenzo, a construction worker who's unwittingly gotten embroiled in the drug cartel's dealings.",0,106,
304,676845,es,Juega Conmigo,115.134,2/25/2021,7.2,136,['Horror'],"Sofia, an insecure young woman, begins babysitting two troublesome siblings that turn her job into a complete living hell. That is until a devilish presence starts messing with the trio and they must band together to fight the demon away.",1753826,80,
310,788905,es,A un paso de mÃ?,131.952,2/25/2021,7,39,"['Adventure', 'Comedy', 'Drama']","Tatiana is a journalist with a routine life in all its aspects and a recently failed love relationship. Motivated by her best friend, she decides to make a stop and travel around Costa Rica to find herself and inner peace.",0,0,
315,662237,ko,ìƒˆì??ë‹¬ì??,136.04,6/4/2021,7.9,64,"['Comedy', 'Romance']","Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",0,101,Did you think it would stay sweet forever? Then why is it so sour?
319,33273,es,Celda 211,125.665,11/6/2009,7.5,910,"['Action', 'Thriller', 'Drama']","The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",19300483,110,"To survive inside, he has to become one of them."
343,793723,fr,Sentinelle,114.789,3/5/2021,5.9,454,"['Thriller', 'Action', 'Drama']","Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",0,80,
348,595280,es,Distancia de rescate,112.679,10/6/2021,6.1,68,"['Horror', 'Thriller', 'Drama']","A woman named Amanda lies stricken, far from home. A young boy named David questions her, trying to make her remember. She's not his mother, he's not her son. As her time is running out, he helps her unravel a powerful, haunting story of obsessive jealousy, an invisible danger, and the power of a mother's love for her child.",0,93,Pay attention.
350,681019,pl,W lesie dziÅ› nie zaÅ›nie nikt,115.017,3/13/2020,5,379,"['Horror', 'Thriller']","Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.",0,102,They died without internet.
351,864388,tr,Mickey's Tale of Two Witches,177.282,10/7/2021,7,12,['Animation'],"On Halloween, Mickey tells a tale of two witches-in-training, Minnie and Daisy, who must pass four tests to graduate from the With Academy in Happy Haunt Hills.",0,46,
364,45682,zh,Xun zhao Cheng Long,118.653,7/3/2009,4.4,46,"['Action', 'Comedy', 'Family']","Jackie Chan is the undefeated Kung Fu Master who dishes out the action in traditional Jackie Chan style. When a young boy sets out to learn how to fight from the Master himself, he not only witnesses some spectacular fights, but learns some important life lessons along the way.",0,85,
369,381749,it,Porno & LibertÃ ,122.833,6/24/2016,5.4,63,['Documentary'],"Italy, 1970. An increasing legion of harmless warriors begins a peaceful struggle for sexual freedom through pornography, shaking and shocking religious authorities and conservative political institutions. They are ironic, happy, crazy. They are dreamers, defenders of definitive communion between body and soul. But they were censored and humiliated. They were mistreated and arrested for demanding loud a new cultural renaissance.",0,79,
371,778657,es,Destello BravÃ?o,120.253,6/18/2021,6.1,7,['Drama'],"The women of a small rural town, suspended in time and whipped by depopulation, live between the apathy of their daily day where nothing extraordinary happens and a deep desire for liberating experiences that makes them rediscover the place where they believe they were happy or dreamed of being happy.",0,98,
376,857910,es,Lokillo: nada es igual,97.682,8/12/2021,7.8,15,['Comedy'],"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail.",0,64,
384,617708,es,La Llorona,90.234,1/22/2020,6.6,223,"['Thriller', 'Horror', 'Drama']","Accused of the genocide of Mayan people, retired general Enrique is trapped in his mansion by massive protests. Abandoned by his staff, the indignant old man and his family must face the devastating truth of his actions and the growing sense that a wrathful supernatural force is targeting them for his crimes.",0,97,The past will haunt you.
391,581392,ko,ë°˜ëè„,112.928,7/15/2020,6.9,1714,"['Action', 'Horror', 'Thriller']",A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,39657073,116,Escape the apocalypse.
400,888917,fr,Les Rois de l'arnaque,115.384,11/3/2021,6,4,['Documentary'],This documentary traces the rise and crash of scammers who conned the EU carbon quota system and pocketed millions before turning on one another.,0,105,
410,604360,ko,ì œ8ìù?ìù˜ ë°?,101.97,7/2/2021,6.1,54,"['Mystery', 'Thriller', 'Horror']","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",0,115,Dark night of the soul.
412,847981,de,Schwarze Insel,93.971,8/17/2021,6.2,109,['Thriller'],The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,0,105,
423,689249,es,La Casa de Papel: el fenÃ?meno,107.516,4/3/2020,7.6,843,['Documentary'],A documentary on why 'Money Heist' sparked a wave of enthusiasm around the world for a lovable group of thieves and their professor.,0,57,
433,576393,zh,ä¸€åê»å®?æƒ…,88.894,2/14/2019,6.7,71,"['Romance', 'Comedy']","After an earthquake destroys Xiang Qin's house, she and her father move in with the family of her father's college buddy. To her surprise, her new kind and amicable aunt and uncle are the parents of her cold and distant schoolmate, Jiang Zhi Shu, a genius with an IQ of 200 whom not too long ago rejected her when she confessed her feelings for him. Will the close proximity give her a second chance to win Zhi Shu's heart? Or will her love for him end under his cold words?",0,123,
437,581389,ko,ì??ë?¬í˜¸,106.984,2/5/2021,7.2,674,"['Drama', 'Fantasy', 'Science Fiction']","When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",0,136,"2092, the space sweep begins!"
438,606523,ko,ë‚™ì›êìù˜ ë°?,98.945,9/3/2020,6.9,148,"['Crime', 'Drama', 'Thriller', 'Action']","An assassin named Tae-goo is offered a chance to switch sides with his rival Bukseong gang, headed by Chairman Doh. Tae-goo rejects the offer that results in the murder of his sister and niece. In revenge, Tae-goo brutally kills Chairman Doh and his men and flees to Jeju Island where he meets Jae-yeon, a terminally ill woman. Though, the henchman of the Bukseong gang, Executive Ma is mercilessly hunting Tae-goo to take revenge.",0,131,
451,536841,es,Diego Maradona,88.424,6/14/2019,7.5,296,['Documentary'],"Constructed from over 500 hours of never-before-seen footage, this documentary centers on the personal life and career of the controversial football player Diego Maradona who played for SSC Napoli and Argentina in the 1980s.",0,130,"Rebel, hero, hustler, God."
460,587996,es,Bajocero,96.349,1/29/2021,6.4,656,"['Action', 'Crime', 'Thriller']","When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",0,106,Escape is not the exit.
461,663558,zh,æ–°ç¥?æ?œï??å“ªåê’é‡çç”Ÿ,101.09,2/6/2021,8.3,233,"['Animation', 'Action', 'Fantasy']","3000 years after the boy-god Nezha conquers the Dragon King then disappears in mythological times, he returns as an ordinary man to find his own path to becoming a true hero.",0,116,
476,667757,es,El prÃ?fugo,99.208,7/30/2021,5.1,9,['Thriller'],"InÃ©s works as a dubbing actress and sings in a choir in Buenos Aires. While on an idyllic trip she suffers a traumatic episode that she canâ€™t recover from. She has trouble sleeping and experiences very vivid nightmares as strange sounds begin to emerge from inside her. Awake, InÃ©s feels suddenly surrounded by people that seem to come from her dreams.",0,95,
485,649087,sv,Red Dot,90.161,2/11/2021,5.9,542,"['Thriller', 'Drama', 'Horror']","On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",0,86,
495,874965,de,Du Sie Er & Wir,93.729,10/15/2021,5.2,35,"['Comedy', 'Romance', 'Drama']","After their partner swap experiment takes a turn, four friends arrive at a remote beach hut to face the fallout and purge themselves of deeper truths.",0,88,
500,779202,pt,Terapia do Medo,79.967,8/4/2021,6.8,56,"['Mystery', 'Horror', 'Thriller']","A woman tries to help her twin sister, with whom she has a strong connection, recover from a trauma. But weird things surround their lives.",0,84,
504,396535,ko,ë¶€ì‚°í–‰,98.877,7/20/2016,7.8,5196,"['Action', 'Horror', 'Thriller']","Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survivalâ€?",87547518,118,Life-or-death survival begins.
532,819413,zh,å…«æœˆæœªå?®,104.663,4/16/2021,2,1,['Romance'],"A story revolving around two friends with very different personalities - the no-nonsense and rebellious Weiyang and the idealist 'Princess' Qiao. When Xiao Qiao met Weiyang, the two easily became close friends. However, Xiao Qiao's fiancee Chao Yan can't help himself as he falls deeply in love with Weiyang, which crushes Xiao Qiao's fairytale love story. Just as the three are entangled in a world of complications, Weiyang makes a surprising decision.",0,95,
549,554596,es,No Manches Frida 2,81.456,3/15/2019,8.1,644,['Comedy'],Ex-con Zequi and company come back for a new adventure.,0,102,
552,793147,zh,ä?™ç”Ÿï?Œè¯·å??æŒ‡æ•™,98.214,2/3/2021,2,1,['Romance'],"A  story between Lin Zhi Xiao, a graduating student from the Conservatory of Music, and her father's attending physician Gu Wei. Fourth-year student Lin Zhi Xiao hits rock bottom right before her graduation. Her father is hospitalized due to cancer leaving her no choice but to give up the chance to work at a reputable company. She also bears the pain from a relationship that has ended. All her beautiful imaginations towards love and her future are shattered in an instant. Just then, her father's doctor Gu Wei walks into Lin Zhi Xiao's life. When love begins, people often don't know that it's love. Two people who have been hurt before and no longer believe in love start to get to know each other. There are uncertainties and setbacks, misunderstandings and downturns, but in the process of falling in love, they become more assured that they have found the person to whom they can entrust the rest of their lives.",0,76,
559,785544,cs,ãƒœã‚¯ãÅŸãÅ¡ãÅ¯ãÅ¿ã‚“ãÅªå?§äººãÅ«ãÅªã‚ŒãÅªãÅ‹ãÅ£ãÅŸ,133.274,11/5/2021,4,3,"['Romance', 'Drama']","A friend request with a lost love sends a man back into his memories of the '90s, when life seemed to burn a little brighter",0,124,
563,496243,ko,ê¸°ìƒùì¶©,96.306,5/30/2019,8.5,12445,"['Comedy', 'Thriller', 'Drama']","All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",257591776,133,Act like you own the place.
576,37645,fr,L'Immortel,82.973,3/23/2010,6.6,903,"['Drama', 'Crime', 'Thriller']","Charly MatteiÌˆ has turned his back on his life as an outlaw. For the last three years, he's led a peaceful life devoting himself to his wife and two children. Then, one winter morning, he's left for dead in the parking garage in Marseille's Old Port, with 22 bullets in his body. Against all the odds, he doesn't die...",0,117,The revenge of the Professional.
579,630240,fr,Titane,92.889,7/14/2021,6.8,322,"['Drama', 'Thriller', 'Horror']","A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",5115725,108,
580,61979,es,Tres metros sobre el cielo,96.784,12/3/2010,7.8,2280,"['Romance', 'Drama']","Story of two young people who belong to different worlds. It is the chronicle of a love improbable, almost impossible but inevitable dragging in a frantic journey they discover the first great love. Babi is a girl from upper-middle class that is educated in goodness and innocence . Hache is a rebellious boy, impulsive, unconscious, has a appetite for risk and danger embodied in endless fights and illegal motorbike races, the limit of common sense",0,122,Have you ever been about to touch the sky?
581,676842,es,DespuÃ©s de ti,86.235,4/8/2021,7.9,74,"['Comedy', 'Drama']","Su, a woman whose friends are only men, finds herself forced to follow a series of absurd instructions to overcome the unexpected death of her fiancÃ©.",0,92,
591,714277,es,La funeraria,76.623,4/15/2021,4.1,17,['Horror'],"Bernardo is an undertaker. He runs his mortuary business in the same house where he resides. In the front, he has his clients. And in the back, his dysfunctional family lives amongst coffins, wreaths, and the mischievous but nonviolent ghosts that visit on a daily basis. But when a malevolent entity enters the scene, it wreaks havoc on the already fractured household.",0,86,Dare you visit?
595,44263,cn,å…¨åŸ?æˆ’å‚™,84.376,8/11/2010,4.9,38,"['Science Fiction', 'Action', 'Thriller']","Sunny is a naÃ¯ve circus performer who dreams of inheriting his father's knife-throwing skills. However, his hostile colleagues continue to bully him, relegating him to a lowly clown. On a tour to Malaysia, Cheung and other performers discover a cave occupied by the Japanese army during World War II. Instead of finding treasure, the performers - including Sunny - are sprayed with a mysterious chemical that turns them into superhuman mutants...",0,110,
612,802504,nl,Just Say Yes,82.043,4/2/2021,6.7,163,"['Comedy', 'Romance']",Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel -- just as her self-absorbed sister gets engaged.,0,97,
613,351694,zh,è¥¿æ¸¸è®°ä?‹å?§åœ£å?’æù¥,77.956,7/10/2015,7.1,155,"['Fantasy', 'Animation', 'Comedy']","The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",150000000,89,
614,608804,pt,A Menina Que Matou os Pais,86.329,9/24/2021,6.5,134,"['Crime', 'Drama', 'Thriller']","Based on one of the most shocking and gruesome murder cases in Brazil, the film presents Daniel Cravinhos's point of view of the events that led to the death of MarÃ?sia and Manfred von Richthofen, his girlfriendâ€™s parents.",0,85,The crime that shocked the country.
621,853588,de,Prey,78.895,9/10/2021,4.5,173,['Thriller'],A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,0,86,
623,680531,fr,Le bal des folles,78.325,9/12/2021,7.1,125,"['Drama', 'Thriller']","Eugenie has a unique gift: she hears and sees the dead. When her family discovers her secret, at the end of the 19th century, she is taken by her father and brother to the neurological clinic at La PitiÃ© SalpÃªtriÃ¨re with no possibility of escaping her fate. Her destiny becomes entwined with that of GeneviÃ¨ve, a nurse at the hospital.",0,122,
624,760883,de,Blood Red Sky,78.326,7/23/2021,7.2,943,"['Horror', 'Thriller', 'Action']","A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight. In order to protect her son she will have to reveal a dark secret, and unleash the inner monster she has fought to hide.",0,121,
629,77338,fr,Intouchables,83.726,11/2/2011,8.3,13952,"['Drama', 'Comedy']",A true story of two men who should never have met â€“ a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,426588510,113,Sometimes you have to reach into someone else's world to find out what's missing in your own.
646,817566,es,Solo una vez,81.647,6/11/2021,4.7,3,['Drama'],,0,0,
647,20222,es,Sexo con amor,75.435,3/27/2003,6.5,158,"['Comedy', 'Romance']","In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",0,108,
649,749618,es,El camino de Xico,74.511,11/12/2020,6.9,76,"['Animation', 'Family']","The peace of a small town is endangered when a corporation wants to destroy the mountain that protects them. A girl named Copi and her best friend Xico, a Xoloitzcuintle dog, will go into the mountains to try to save the town.",0,85,
660,602288,ko,ì—¬ê? ê´´ë‹´ ì—¬ì„¯ë?ˆì§¸ ìù´ì•?ê¸°: ëª¨êµê,79.88,6/17/2021,7.7,14,['Horror'],"Eun-hee is hired as a vice principal at her old high school, where strange things take place in the closed down washroom. High school student Ha-young and So-yeon, who used the washroom as their hideout hear humming in the empty washroom, and believe that a ghost exists inside. Ha-young discovers a flowerpot on the stairs and suspect that Eun-hee is somehow linked to the mystery. Suffering from hallucination upon her inauguration, Eun-hee finds a ghastly figured girl in the washroom mirror and begins to believe that the girl was the one who brought her back to this schoolâ€?",0,117,
664,197158,pt,PornÃ´!,88.33,1/1/1981,4.5,42,['Drama'],"Three tales of the erotic: Two young ladies experiment with lesbianism, a handsome and wealthy socialite makes a beautiful woman patiently wait to make love to him, and a gorgeous, but controlling and dominating blind woman makes a hunky stud her sexual hostage in her swanky mansion home.",0,83,
