sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
4151.00,9461,en,Enter the Dragon,24.2,8/17/1973,7.4,1311,['Action'],A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.," $21,485,066.00 ",102,Their deadly mission: to crack the forbidden island of Han!
4153.00,13990,en,The Wackness,19.95,7/3/2008,6.3,210,['Drama'],"Set in New York City in the sweltering summer, The Wackness tells the story of a troubled teenage drug dealer, who trades pot for therapy sessions with a drug-addled psychiatrist. Things get more complicated when he falls for one of his classmates, who just happens to be the doctor's daughter. This is a coming-of-age story about sex, drugs, music and what it takes to be a man."," $3,175,469.00 ",99,Sometimes it's right to do the wrong things.
4156.00,892127,en,Take Me,22.929,11/9/2021,0,0,[],A queer ode to sweaty basements down Kingsland Road during lockdown., $-   ,3,NA
4158.00,618355,en,Superman: Red Son,20.874,2/24/2020,7.3,614,"['Science Fiction', 'Animation', 'Action']","Set in the thick of the Cold War, Red Son introduces us to a Superman who landed in the USSR during the 1950s and grows up to become a Soviet symbol that fights for the preservation of StalinÉ??s brand of communism.", $-   ,84,NA
4159.00,743601,en,American Murder: The Family Next Door,14.39,9/30/2020,7.4,435,"['Documentary', 'Mystery', 'Crime']","Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed.", $-   ,83,NA
4160.00,123,en,The Lord of the Rings,22.443,11/15/1978,6.6,597,"['Adventure', 'Animation', 'Fantasy']",The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.," $30,471,420.00 ",132,Fantasy...beyond your imagination
4161.00,407448,en,Detroit,15.904,7/28/2017,7.3,1324,"['Crime', 'Drama', 'Thriller', 'History']",A police raid in Detroit in 1967 results in one of the largest citizens' uprisings in the history of the United States.," $23,355,100.00 ",143,It's time we knew
4162.00,65086,en,The Woman in Black,23.397,2/3/2012,6.1,2871,"['Drama', 'Horror', 'Thriller']","The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased clientÉ??s papers. As he works alone in the clientÉ??s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity."," $127,730,736.00 ",95,What did they see?
4163.00,9475,en,Scent of a Woman,24.443,12/23/1992,7.7,2342,['Drama'],"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family."," $134,095,253.00 ",156,Col. Frank Slade has a very special plan for the weekend!
4164.00,188222,en,Entourage,21.979,6/3/2015,6.2,813,['Comedy'],"Movie star Vincent Chase, together with his boys, Eric, Turtle and Johnny, are backÉ??and back in business with super agent-turned-studio head Ari Gold. Some of their ambitions have changed, but the bond between them remains strong as they navigate the capricious and often cutthroat world of Hollywood."," $49,263,404.00 ",104,Dream Large. Live Larger.
4165.00,9763,en,Goal!,18.644,9/29/2005,6.6,805,['Drama'],"Like millions of kids around the world, Santiago harbors the dream of being a professional footballer... However, living in the Barrios section of Los Angeles, he thinks it is only that--a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United."," $27,610,873.00 ",118,Every Dream Has A Beginning
4166.00,6282,en,Coyote Ugly,21.192,7/30/2000,6.3,1626,"['Comedy', 'Drama', 'Music', 'Romance']","Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl."," $113,916,474.00 ",100,This party never ends.
4167.00,866,en,Finding Neverland,16.693,10/17/2004,7.3,2997,['Drama'],"During a writing slump, playwright J.M. Barrie meets a widow and her three childrenÉ??who soon become an important part of BarrieÉ??s life and the inspiration that lead him to create his masterpiece. Peter Pan'."," $116,766,556.00 ",106,Where will your imagination take you?
4169.00,283564,en,SlugTerra: Return of the Elementals,23.166,8/2/2014,6.4,74,"['Family', 'Animation', 'Adventure']","A new member has joined Eli and the Shane Gang! Junjie, once the protector of the Eastern Caverns, is a master of the slugslinging art of Slug Fu! But even with the power of five slingers, the Shane Gang find themselves in over their heads as they race across The 99 Caverns in search of the Legendary Elemental Slugs. The five Elementals are ancient slugs of great power, and the forbearers of all slugs found in SlugTerra today. In the wrong hands, they could bring Slugterra to the brink of destruction. So when an evil alliance starts hunting down the Elementals, Eli and his friends É?? old and new É?? take off in pursuit of the greatest threat their world has ever faced!", $-   ,63,NA
4170.00,9595,en,Hot Shots!,18.94,7/31/1991,6.6,1545,"['Action', 'Comedy', 'War']","Recruited to join a top-secret mission for the Air Force, a renegade pilot finds himself coping with an incompetent admiral and a carefully selected squadron of flyers who are either inept or half-blind."," $181,096,164.00 ",84,The mother of all movies.
4171.00,20544,en,Something the Lord Made,20.94,5/30/2004,7.7,144,"['TV Movie', 'Drama']",A dramatization of the relationship between heart surgery pioneers Alfred Blalock and Vivien Thomas., $-   ,110,A breakthrough that changed the face of medicine. A unique partnership that broke the rules.
4172.00,69,en,Walk the Line,20.641,9/13/2005,7.5,2168,"['Drama', 'Music', 'Romance']","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins."," $186,797,986.00 ",136,Love is a burning thing.
4173.00,874244,en,Gingerbread Miracle,13.264,11/5/2021,5.3,3,"['TV Movie', 'Comedy', 'Drama', 'Romance']","Maya and Alex, old friends from high school, work together over Christmas to sell his uncleÉ??s Mexican bakery famous for its gingerbread cookies that the patrons believe grants wishes.", $-   ,84,NA
4174.00,814,en,An American Werewolf in London,21.537,8/21/1981,7.4,1668,"['Horror', 'Comedy']",Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.," $31,973,249.00 ",97,Beware the Moon.
4175.00,823461,en,Good on Paper,19.271,6/23/2021,5.7,187,"['Comedy', 'Drama', 'Mystery', 'Romance', 'Thriller']","After years of putting her career ahead of love, stand-up comic Andrea Singer has stumbled upon the perfect guy. On paper, he checks all the boxes but is he everything he appears to be?", $-   ,92,"If he checks all your boxes, check again."
4176.00,582913,en,The Room,19.208,9/12/2019,6.4,647,"['Horror', 'Drama', 'Mystery', 'Science Fiction']","Kate and Matt discover that a part of their house can grant wishes. In the wake of two miscarriages, what they want most is a child.", $-   ,100,NA
4177.00,466081,en,The Informer,21.408,8/30/2019,6.5,519,"['Drama', 'Crime', 'Thriller']","In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones."," $2,602,652.00 ",109,Choose your enemies wisely
4178.00,180863,en,T2 Trainspotting,22.394,1/27/2017,7,2525,"['Crime', 'Drama']","After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie."," $42,067,430.00 ",117,Face your past. Choose your future.
4179.00,619594,en,My Salinger Year,17.617,1/14/2021,6.3,54,['Drama'],"A college grad takes a clerical job working for the literary agent of the renowned, reclusive writer J.D. Salinger."," $236,653.00 ",101,The true story of a literary education.
4180.00,624620,en,"Paw Patrol: Ready, Race, Rescue!",21.595,8/2/2019,6.9,88,"['Animation', 'Family']","ItÉ??s the Adventure Bay 500! The pups have built an awesome race track and are ready to be the pit crew for their race hero, The Whoosh! But when the legendary racer is unable to drive in the championship race, he calls on his biggest fan-pup Marshall to take the wheel and race in his place! Marshall has to overcome his lack of confidence and his dastardly competition, The Cheetah, to fulfill his dream of becoming the fastest race-pup ever!", $-   ,44,Get ready to race and rescue!
4181.00,9869,en,Patriot Games,17.684,6/4/1992,6.7,1178,"['Drama', 'Action', 'Thriller', 'Crime']","When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge."," $178,051,587.00 ",117,Not for honor. Not for country. For his wife and child.
