sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
5626,758866,ja,ドライブ・マイ・カー,15.097,8/18/2021,7.3,63,['Drama'],"Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanja at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled.",$0.00,179,
5632,243914,ja,熱風海陸ブシロード,16.324,12/30/2013,6.5,3,"['Animation', 'Action', 'Science Fiction', 'Adventure']","A restart of ""Neppu Kairiku Bushi Lord"", a previously stalled mecha mixed-media project. The anime will air this fall under the new name ""Neppu Kairiku Bushi Road"", as a collaboration between Bushiroad, video distributor Bandai Visual, software company Nitroplus, and anime studio Kinema Citrus.",$0.00,90,
5647,681772,ja,透明変態人間 60分の秘薬,14.979,9/20/2014,0,0,"['Comedy', 'Science Fiction']","At a university hospital, a love story is drawn between a dull resident, Nobuhiko Kitagawa, who finds the secret drug to become a transparent human being, and a beautiful nurse, Narumi Sano.",$0.00,74,
5655,520576,ja,恋は雨上がりのように,16.265,5/25/2018,7.6,26,"['Romance', 'Drama']","Akira Tachibana is a 17-year-old high school student. She was once a promising athlete, but an injury has prevented her from taking part in track and field. One day, Akira Tachibana goes to a family restaurant and the manager talks to her in a tender voice. This makes Akira Tachibana begin working part-time at the restaurant. The manager is 45-year-old Masami Kondo and he is divorced with a child. Akira Tachibana falls in love with him. --asianwiki",$0.00,111,
5682,260345,ja,Sasori: Joshuu 701-gô,16.52,10/31/1998,3.5,2,"['Crime', 'Action', 'Thriller', 'Drama']","Nami Matsushima, a former doctor, is put in prison for murdering one of the men who raped and killed her sister. Now, faced with violent and lecherous prison gangs, an aggressively amorous warden, and with a friend on death row, Nami must steel herself for a ten year stay in one of Japan's toughest women's prisons.",$0.00,90,
5713,520541,ja,ニセコイ,20.862,12/21/2018,7.6,30,"['Romance', 'Comedy']","Raku Ichijo (Kento Nakajima) is an only son and a high school student. His father is the leader of yakuza group Shuei-gumi. Raku Ichijo doesn't like to fight and he studies hard. His dream is to become a public official. One day, he passes the entrance gate at his high school and is kicked inadvertently by Chitoge Kirisaki (Ayami Nakajo). She is a new transfer student at the school. Chitoge Kirisaki is the only daughter of a rival gang leader. To keep the peace between the rival gangs led by their fathers, Raku Ichijo and Chitoge Kirisaki decide to act as boyfriend and girlfriend. --asianwiki",$0.00,117,
5745,288737,ja,朝まで授業chu!,17.439,6/23/2012,7.4,114,"['Animation', 'Comedy']","Due to an error the male student Kagami Yuuki is registered for a room in the girls dormitory of his new co-ed high school. Since no male rooms are available he is left with no other option than to sleep in the girls dormitory in the same room as the teacher that made the mistak in the first place, Ayane-sensei. To avoid getting kicked out of the school for being a boy in a girls dormitory he has to cross-dress whenever he is leaving his room. Needless to say that this brings him a lot of trouble.",$0.00,25,
5778,252391,ja,魔女の宅急便,15.196,3/1/2014,6.6,34,"['Adventure', 'Comedy', 'Fantasy', 'Mystery']","A young girl named Kiki (Fuka Koshiba) must leave her home for a year to begin training in witchcraft. She leaves on her broom, but first says goodbye to her friends and family. Kiki then begins her new life with her trusted cat Jiji.",$0.00,108,
5788,452200,ja,人妻変態美容師,13.915,1/14/1994,0,0,[],This routine effort from cult pinku-eiga director Hisayasu Sato centers around a divorcée who opens a beauty parlor and begins selling sexual services to boost her business.,$0.00,60,
5808,127544,ja,009 RE:CYBORG,13.501,10/27/2012,5.3,28,"['Action', 'Animation', 'Science Fiction']","009 Re:Cyborg follows a group of nine cyborgs, each of them created by a shadowy organization for use as weapons against humanity. The group turns on their creators to protect the population instead, using the powers given them to fight their creators.",$0.00,103,
