sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
4648,449574,ja,GODZILLA 怪獣惑星,17.931,11/17/2017,6.3,340,"['Action', 'Adventure', 'Science Fiction', 'Animation']","In the year 2048, the human race is forced to leave Earth after decades of losing against Godzilla and other giant monsters. They take a twenty-year journey to another planet called Tau Ceti-e, but upon arrival, they discover that the planet has become uninhabitable. As living conditions on their ship deteriorate, a young man named Haruo spearheads a movement to return to Earth and take it back from the monsters. The ship successfully makes the return voyage, but the crew realizes that twenty thousand years have passed, with Earth's ecosystem having evolved to become centered around Godzilla.",$0.00,89,"Who will be eradicated, man, or Godzilla?"
4676,44725,ja,ワンピース 珍獣島のチョッパー王国,21.626,3/2/2002,6.5,99,"['Action', 'Animation', 'Adventure']","As the Straw Hat Pirates sail through the Grand Line.A line of geysers erupted from under the Going Merry. And the whole crew find themselves flying over the island. Unfortunatly, Chopper fell off the ship and was separated from his friends. Luffy and the others landed on the other side of the island. Chopper meanwhile finds himself being worshiped as the island's new king by the animals. To make matters worse, a trio of human ""horn"" hunters are on the island. The leader, Count Butler is a violin playing/horn eating human who wants to eat the island's treasure to inherit immense power. Will Luffy & the rest be able to prevent the count from terrorizing the island? And will they be able to convince Momambi that not all pirates are bad?","$13,107,237.00",56,"Tony T. Chopper, the new Animal King!"
4725,548,ja,羅生門,17.333,8/26/1950,8.2,1485,"['Crime', 'Drama', 'Mystery']","Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.","$96,568.00",88,"The husband, the wife… or the bandit?"
4780,631346,ja,変態観測 恥穴むき出し!,14.653,2/2/2018,8,1,[],,$0.00,70,
4802,432057,ja,魔法少女リリカルなのは Reflection,18.453,7/22/2017,6.5,3,"['Fantasy', 'Animation', 'Action', 'Science Fiction']","The planet Eltria, having suffered severe desertification in the past, has all but been abandoned. Against her older sister's wishes, Kyrie Florian travels to Earth alongside her best friend, the AI Iris, in search of the key to their planet's regeneration. However, the only way to find it lies within the Tome of the Night Sky, leading them into conflict with Nanoha and her friends.","$1,488,577.00",111,
4827,342126,ja,たまゆら～卒業写真～ 第1部 芽-きざし-,20.992,4/4/2015,6.2,5,"['Drama', 'Animation']","As Fu and her friends begin their third and final year of high school, the photography club gets two new members; freshman Takumi Shindou and sophomore Suzune Maekawa. Thinking about what to do after graduation, Fu decides she wants to pursue a career combining photography and travelling. Afterwards, Fu's family tell Fu about the time she took a picture of her father and first learned about ""tamayura"" from him. Later, as Chihiro and Tomo pay a visit for the Bamboo Festival, announcing that they plan to study abroad after graduation, Fu is shocked to learn that Riho is planning to leave town. During the festival the next day, as the girls get to see Kanae as part of Sayomi's explorer's club, Fu is approached by Riho, who explains she is going to Tokyo to open a gallery with her friend. Thankful for everything Riho has done for her, Fu promises the carry on her torch in pusuit of a career in photography.",$0.00,52,
4829,9606,ja,メトロポリス,20.536,5/26/2001,7,310,"['Animation', 'Science Fiction']","Kenichi and his detective uncle, Shunsaku Ban, leave Japan to visit Metropolis, in search of the criminal, Dr. Laughton. However, when they finally find Dr. Laughton, Kenichi and Shunsaku find themselves seperated and plunged into the middle of a larger conspiracy. While Shunsaku searches for his nephew and explanations, Kenichi tries to protect Tima (a mysterious young girl), from Duke Red and his adopted son Rock, both of whom have very different reasons for wanting to find her.","$4,035,192.00",108,Welcome to Metropolis
4840,225145,ja,ガッチャマン,19.635,8/24/2013,4.9,10,"['Action', 'Adventure', 'Science Fiction']","By the year 2050 AD, a mysterious organization called Galactor has occupied half of the Earth and threatens to exterminate the human race. Around the same time, the International Science Organization had uncovered mysterious stones that bear unusual powers.  It is said that one person out of approximately eight million is able to harness the power of the stones; they are known as a ""Receptor"". Dr. Kozaburo Nambu gathers a team of these five lucky Receptors together. Known as the ""Gatchaman"" team, it is their mission to defeat Galactor.",$0.00,113,
4848,610892,ja,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,13.348,9/6/2019,8.4,206,"['Drama', 'Fantasy', 'Animation']","Isabella, the daughter of the noble York family, is enrolled in an all-girls academy to be groomed into a dame worthy of nobility. However, she has given up on her future, seeing the prestigious school as nothing more than a prison from the outside world. Her family notices her struggling in her lessons and decides to hire Violet Evergarden to personally tutor her under the guise of a handmaiden.  At first, Isabella treats Violet coldly. Violet seems to be able to do everything perfectly, leading Isabella to assume that she was born with a silver spoon. After some time, Isabella begins to realize that Violet has had her own struggles and starts to open up to her. Isabella soon reveals that she has lost contact with her beloved younger sister, whom she yearns to see again.  Having experienced the power of words through her past clientele, Violet asks if Isabella wishes to write a letter to Taylor. Will Violet be able to help Isabella convey her feelings to her long-lost sister?","$10,841,702.00",91,
4864,437620,ja,ReLIFE,13.33,4/15/2017,7.9,50,"['Comedy', 'Drama', 'Romance']","Arata Kaizaki is 27-years-old and unemployed. He quit his prior job after working for the company for 3 months. Arata Kaizaki decides to take part in a research program. He takes medication that makes him look younger and he is to attend high school for a year. There, he falls in love with female high school student Chizuru Hishiro.",$0.00,120,
4870,229756,ja,劇場版 花咲くいろは HOME SWEET HOME,12.221,3/9/2013,6.1,30,"['Animation', 'Drama', 'Comedy']","While sorting through a mess of books in the staff room, Ohana happens upon one of Denroku's log books from long ago. Within it, it recounts a story of Ohana's mom when she was the same age as her.",$0.00,66,
4876,39145,ja,ドラゴンボール 魔神城のねむり姫,20.315,7/18/1987,6.5,170,"['Action', 'Animation']","Goku and Kuririn are given an assignment by Kame-Sen'nin: ""Retrieve the sleeping princess from Lucifer and I will take you as my students."" But the mission proves to be more perilous than originally thought.",$0.00,45,
4886,179923,ja,トワノクオン 第一章 泡沫の花弁,19.054,6/17/2011,6.5,8,"['Action', 'Animation', 'Science Fiction', 'Fantasy']","This story follows a boy named Quon and his friends, who are ""Attractors"". Attractors are human beings who have awakened and have supernatural powers. Quon is determined to save them all. But a secret organization is hunting them...",$0.00,48,
4896,447163,ja,心が叫びたがってるんだ。,18.058,7/22/2017,7.3,8,['Drama'],"Jun is a girl whose words have been sealed away so that she cannot hurt anyone with them.  But, one day, she is nominated to become an executive member of the ""community outreach council.""  On top of that, Jun is also appointed to play the main lead in their musical...",$0.00,119,
4923,9463,ja,バンパイアハンターD,16.042,12/21/1985,6.6,303,"['Animation', 'Fantasy', 'Horror']","In a far-future time ruled by the supernatural, a young girl requests the help of a vampire hunter to kill the vampire who has bitten her and thus prevent her from becoming a vampire herself.",$0.00,80,
4940,239529,ja,ルパン三世VS名探偵コナン THE MOVIE,15.29,12/7/2013,6.8,115,"['Animation', 'Action', 'Thriller']","Conan Edogawa sets out to apprehend Lupin the Third, the suspect of stealing a jewel called Cherry Sapphire. (A sequel to the TV special Lupin the Third vs. Detective Conan, 2009.)",$0.00,106,Tiny genius vs. Master thief
