sr_no,id,original_language,original_title,release_date,vote_average,vote_count,genre,overview,revenue,runtime,gender
8179,89899.0,fr,Les infidèles,2/29/2012,4.8,560.0,Comedy,"Eight short films explore the subject of male infidelity. Serial cheaters, Fred and Greg, spend a night on the town doing what they do best, and with absolutely no regrets. The duo play various characters in assorted extracurricular situations, ranging from sexist to the darker sides of carnal desires.",107503530.61488006,109.0,0
8180,916.0,en,Bullitt,10/17/1968,7.2,744.0,ActionCrimeDramaThriller,"Senator Walter Chalmers is aiming to take down mob boss Pete Ross with the help of testimony from the criminals hothead brother Johnny, who is in protective custody in San Francisco under the watch of police lieutenant Frank Bullitt. When a pair of mob hitmen enter the scene, Bullitt follows their trail through a maze of complications and double-crosses. This thriller includes one of the most famous car chases ever filmed.",42300873.0,113.0,1
8181,10885.0,en,Shutter,3/21/2008,5.6,510.0,HorrorMysteryThriller,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.",107503530.61488006,85.0,0
8182,19997.0,en,Niagara,1/26/1953,6.8,252.0,Thriller,"Rose Loomis and her older, gloomier husband, George, are vacationing at a cabin in Niagara Falls, N.Y. The couple befriend Polly and Ray Cutler, who are honeymooning in the area. Polly begins to suspect that something is amiss between Rose and George, and her suspicions grow when she sees Rose in the arms of another man. While Ray initially thinks Polly is overreacting, things between George and Rose soon take a shockingly dark turn.",8500000.0,92.0,1
8183,271674.0,en,Suite Française,3/12/2015,7.4,953.0,DramaRomanceWar,"France, 1940. In the first days of occupation, beautiful Lucile Angellier is trapped in a stifled existence with her controlling mother-in-law as they both await news of her husband: a prisoner of war. Parisian refugees start to pour into their small town, soon followed by a regiment of German soldiers who take up residence in the villagers own homes. Lucile initially tries to ignore Bruno von Falk, the handsome and refined German officer staying with them. But soon, a powerful love draws them together and leads them into the tragedy of war.",9104716.0,103.0,1
8184,833393.0,es,La Civil,7/8/2021,4.3,3.0,Drama,"Cielo is a mother whose teenage daughter is kidnapped in Northern Mexico. When the authorities offer no support in the search, Cielo takes matters into her own hands and transforms from housewife into a vengeful militant.",107503530.61488006,140.0,1
8185,513083.0,en,Wine Country,5/8/2019,5.5,416.0,Comedy,"A group of friends head to the land of oaky Chardonnays and big, bold Cabernet Sauvignons for one member of the squad’s 50th birthday party.",107503530.61488006,103.0,1
8186,384677.0,en,Set It Up,6/15/2018,7.0,2166.0,RomanceComedy,Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them up with each other.,107503530.61488006,105.0,1
8187,546724.0,en,We Summon the Darkness,8/28/2020,5.6,103.0,HorrorThriller,Three best friends attending a heavy-metal show cross paths with sadistic killers after they travel to a secluded country home for an after party.,164677.0,91.0,1
8188,40508.0,en,3 Ninjas Knuckle Up,6/18/1994,5.2,147.0,FamilyAdventureActionComedy,"Rocky, Colt and TumTum must battle an evil wealthy toxic waste dumper in order to save a local Indian tribe and their friend Joe. The 3 Ninjas must help find Joes father and find a secret disk that contains evidence that could stop the toxic landfill that is destroying the Indian community. However the town is owned by the rich man and he controls the police and even the mayor. They must fight a motorcycle gang and renegade cowboys in this non-stop ninja adventure.",413479.0,85.0,1
8189,31347.0,ja,劇場版 カードキャプターさくら 封印されたカード,7/15/2000,8.2,135.0,ComedyAnimationAdventureFantasyRomance,"All of the Clow Cards have been captured, and Sakura Kinomoto, the new Master of the Cards, is preparing to play the lead in the play for the town festival. However, a new evil force is causing mysterious events all over Tomoeda, including the disappearance of Sakuras cards. With Syaorans help, Sakura must figure out the cause of these events, and save her town.",107503530.61488006,80.0,1
8190,12685.0,en,BloodRayne: The Third Reich,11/5/2010,4.0,141.0,ActionAdventureFantasyHorror,"Rayne fights against the Nazis in Europe during World War II, encountering Ekart Brand, a Nazi leader whose target is to inject Adolf Hitler with Raynes blood in an attempt to transform him into a dhampir and attain immortality.",107503530.61488006,79.0,0
8191,687156.0,en,A Secret Love,4/29/2020,7.5,91.0,Documentary,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",107503530.61488006,83.0,0
8192,659991.0,en,Made in Italy,8/6/2020,5.9,157.0,ComedyDrama,A bohemian artist travels from London to Italy with his estranged son to sell the house they inherited from his late wife.,107503530.61488006,94.0,1
8193,408268.0,es,No Estamos Solos,1/14/2016,5.9,53.0,HorrorThriller,"A family, Mateo, Monica and eight year old Sofia, move into a house on the outskirts of Lima. From the first night, the girl is haunted by a terrifying being. These harassments become every time more violent and disturbing, and soon enough will require the presence of a priest, who will try to help without imagining the consequences.",107503530.61488006,76.0,1
8194,81250.0,en,Geek Charming,11/11/2011,6.6,639.0,ComedyDramaFamilyTV Movie,"Film geek Josh is looking for the subject of his new documentary when a chance meeting puts the perfect star in his sights—Dylan, his schools most popular junior. But Dylans hopes of using the film to become Blossom Queen dont quite match with Joshs goal to make a hard-hitting exposé about popularity. Will Josh shoot the film as planned, or show Dylan as the truly interesting person she is?",107503530.61488006,99.0,0
8195,682377.0,en,Chick Fight,11/13/2020,5.9,167.0,ActionComedy,"When Anna Wyncomb is introduced to an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine.",107503530.61488006,98.0,1
8196,333354.0,en,Extortion,1/2/2017,6.1,210.0,ActionAdventureCrimeDramaThriller,A doctor desperately tries to save his wife and their 5 year old son after their vacation in the Bahamas takes an unexpected turn.,107503530.61488006,108.0,0
8197,10353.0,fr,Les Couloirs du Temps : Les Visiteurs II,2/11/1998,6.0,798.0,ComedyFantasy,"The sequel to The Visitors reunites us with those lovable ruffians from the French Medieval ages who - through magic - are transported into the present, with often drastic consequences. Godefroy de Montmirail travels to today to recover the missing family jewels and a sacred relic, guarantor of his wife-to-bes fertility. The confrontation between Godefroys repellent servant Jack the Crack and his descendent, the effete Jacquart, present-day owner of the chateau, further complicates the matter.",66000000.0,118.0,1
8198,7211.0,en,Dan in Real Life,10/26/2007,6.5,910.0,ComedyRomanceDrama,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brothers new girlfriend.",68377859.0,98.0,0
8199,375107.0,en,Duck Duck Goose,3/9/2018,6.2,113.0,AnimationFamilyAdventureComedy,"After he’s grounded by an injury, a high-flying bachelor is saddled with two wide-eyed orphans as they come face-to-face with the dangers and beauty of the outside world.",107503530.61488006,82.0,1
8200,19904.0,en,The Stepfather,10/16/2009,5.8,623.0,HorrorThriller,"Michael Harding returns home from military school to find his mother happily in love and living with her new boyfriend, David. As the two men get to know each other, Michael becomes more and more suspicious of the man who is always there with a helpful hand. Is he really the man of her dreams or could David be hiding a dark side?",31198531.0,101.0,1
8201,425194.0,de,Die kleine Hexe,2/1/2018,6.9,101.0,FamilyComedyDrama,The little witch is only 127 years old – too young for the annual coven of witches. Although she is not yet old enough to be a real witch she wants to become a really good one. This decision causes trouble inside her magic world.,107503530.61488006,105.0,1
8202,131358.0,en,Sex Files: Alien Erotica,1/1/1998,6.7,6.0,Science Fiction,"On board a long distance spaceship returning to Earth, an alien lifeform has invaded. It feeds off of sexual energy and can clone itself to resemble the female crew members. Once on Earth the governments Alien Files force is called in to investigate the strange behavior of the crew members and to learn why the alien has come to Earth.",107503530.61488006,99.0,0
8203,40348.0,it,Emanuelle nera,11/27/1975,4.6,39.0,DramaRomanceAdventure,"In her first onscreen adventure, journalist/photographer Mae Jordan (known to her readers as ""Emanuelle"") travels to Africa on assignment. Questions of her own racial and sexual identity come to a head as she observes the troubled marriage of her hosts, Ann and Gianni Danieli. Matters are complicated further when Emanuelle finds herself in affairs with both of them, after which she flees Africa, only to be persued by Gianni, who had earlier rejected her and ridiculed her advances.",107503530.61488006,94.0,1
